epoch,dice_coeff,loss,lr,val_dice_coeff,val_loss
0,0.82014590879343252,0.19962423714893257,0.01,0.87504112976303428,0.14145416469021416
1,0.90322035371576392,0.11352271867504,0.01,0.89107337069613735,0.12716108893120237
2,0.9253738137544254,0.091664449765365322,0.01,0.92579960848640475,0.089675895613917977
3,0.93743404947213538,0.077423757350271488,0.01,0.95173998528795689,0.062504966339584078
4,0.93451517999853051,0.079150402084813068,0.01,0.22702480497262381,0.78891794415502592
5,0.92160725420261591,0.097944848982158855,0.01,0.88773119475196871,0.13096928570915189
6,0.94568834485542241,0.072707739605462937,0.001,0.95861929962051784,0.059374023884406928
7,0.94887006035227395,0.068637079863904799,0.001,0.94097116065127651,0.07612152176993088
8,0.9507303265767677,0.065961448438968492,0.001,0.95467904708927798,0.061558598292743696
9,0.95280516494224132,0.06340530587443434,0.0001,0.95079083043618262,0.065373306078716414
10,0.95325089553187325,0.062906609262075752,1e-05,0.94842747915456227,0.06772368829777313
11,0.9526424089819967,0.06350816110089065,1e-06,0.94659019795610155,0.069559913528323691
12,0.95172325243954836,0.064426804237988383,1e-07,0.94461006028457772,0.07153993317369739
13,0.95084773510044607,0.065302261937630141,1e-08,0.9416820143425414,0.074467977516896738
14,0.95350905024250221,0.062640942954231033,1e-09,0.94607458298810054,0.070075408711453874
